
16Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,0.006305946875,131.106597038,0.0056562297685
experiment 2,0.00629794375,131.189371037,0.00564399807068
experiment 3,0.006323225,131.168950014,0.00564241766716
experiment 4,0.0062909125,131.107134195,0.00563274009518
experiment 5,0.00629980625,131.109148571,0.00563058656469
experiment 6,0.006368196875,131.109148571,0.00567878641046
experiment 7,0.00630774375,131.119221381,0.00561701681416
experiment 8,0.006302578125,131.124191204,0.0056528124477
experiment 9,0.00634596875,131.211439341,0.00567489161452
experiment 10,0.006304865625,131.117341006,0.00562008246304
Average,0.00631471875,131.136254236,0.00564495619161
SD,2.3128823417e-05,0.0367879246601,1.99795395968e-05
32Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,0.006278734375,262.272831772,0.00561151506848
experiment 2,0.0063127625,262.243009534,0.00566535967579
experiment 3,0.006295559375,262.365834721,0.0056345674659
experiment 4,0.006297678125,262.237636878,0.00563722828498
experiment 5,0.00635265625,262.241397714,0.00563992197868
experiment 6,0.0063390375,262.396249702,0.00566670682296
experiment 7,0.0062882,262.208896912,0.0056235892901
experiment 8,0.006309365625,262.211851197,0.00561891400545
experiment 9,0.00632421875,262.358574893,0.00566772936807
experiment 10,0.006387234375,262.375273098,0.00574027031142
Average,0.0063185446875,262.291155642,0.00565058022718
SD,3.14977938231e-05,0.070208577219,3.55282021629e-05
64Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,0.00640145,524.732261001,0.00580364350947
experiment 2,0.006312975,524.388790043,0.00563250114453
experiment 3,0.00628654375,524.449486808,0.0056220505838
experiment 4,0.00630275625,524.704835596,0.00560698181149
experiment 5,0.006286740625,524.537602687,0.00562488239362
experiment 6,0.0063048375,524.48172089,0.00565395410464
experiment 7,0.0062904875,524.663380279,0.00562668961845
experiment 8,0.006312,524.426388153,0.00562125345063
experiment 9,0.006302384375,524.581134259,0.00564980147874
experiment 10,0.0063808,524.661283492,0.00575230993091
Average,0.0063180975,524.562688321,0.00565940680263
SD,3.78707683744e-05,0.117464384302,6.17600367977e-05
128Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,0.006624111875,1049.70866689,0.00591593402843
experiment 2,0.00656777115625,1048.76462272,0.00587508835223
experiment 3,0.006636915,1049.47736437,0.00596855104933
experiment 4,0.00657955240625,1048.74851104,0.00589385324911
experiment 5,0.00656708375,1049.05579549,0.00587583031568
experiment 6,0.00662038375,1049.76139662,0.00591969034058
experiment 7,0.006619568125,1049.52899517,0.0059074825519
experiment 8,0.00655619615625,1048.97197044,0.00586023492698
experiment 9,0.006654736875,1049.31174987,0.00599563887918
experiment 10,0.00655451803125,1048.72165935,0.00585612029375
Average,0.0065980837125,1049.20507319,0.00590684239872
SD,3.49708172772e-05,0.382923686442,4.33874230201e-05
256Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,0.0066527559375,2071.98790121,0.00596874648857
experiment 2,0.00666618875,2072.11158774,0.00596523916759
experiment 3,0.00660452620312,2070.96312283,0.00587052145083
experiment 4,0.006698179375,2071.99209373,0.00614528214649
experiment 5,0.00661177625,2072.31895304,0.00588888409099
experiment 6,0.00660600120312,2071.43232626,0.00587940316103
experiment 7,0.0066318903125,2072.52887666,0.00589785577232
experiment 8,0.00660895125,2071.62300718,0.00588164392239
experiment 9,0.0066134621875,2072.51188825,0.00589166948412
experiment 10,0.00660789964062,2071.41137515,0.00588297778401
Average,0.00663016311094,2071.8881132,0.00592722234684
SD,3.03992259262e-05,0.49162138539,7.99077424871e-05
512Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,0.006641118625,4131.46542465,0.00591072631979
experiment 2,0.00671429325,4132.81338236,0.00605127883383
experiment 3,0.0066271532125,4128.20752876,0.00589842878418
experiment 4,0.0066368094625,4127.84142242,0.00591056825861
experiment 5,0.006637428625,4132.05892458,0.00591987551417
experiment 6,0.00666179575,4132.84674229,0.00593753559164
experiment 7,0.0066305495,4131.67279682,0.0058856857784
experiment 8,0.00664894825,4131.43942125,0.00592066308728
experiment 9,0.0066431469625,4128.4605129,0.00591594350356
experiment 10,0.00670173725,4132.28636693,0.00610456875149
Average,0.00665429808875,4130.9092523,0.0059455274423
SD,2.85027114558e-05,1.85683579732,6.85021185818e-05
1024Kbps,delaySum(s),Throughput(Kbps),jitter
experiment 1,0.0070025654625,8242.96492004,0.00661173149568
experiment 2,0.006968190375,8250.00452783,0.00692236864316
experiment 3,0.007085609,8262.46867847,0.00686102206391
experiment 4,0.00688654425,8251.81549611,0.00639893578441
experiment 5,0.007048568,8252.61353178,0.00673675833883
experiment 6,0.00697807625,8253.89070998,0.006894479577
experiment 7,0.00684390638298,8234.99469499,0.00609563959918
experiment 8,0.0069530867125,8237.50097672,0.00640047071921
experiment 9,0.00686807125,8250.69584628,0.00620878706699
experiment 10,0.0069200295,8250.40601021,0.00641815432504
Average,0.0069554647183,8248.73553924,0.00655483476134
SD,7.38861827207e-05,7.7218502301,0.000278917073638
