,timeFirstTPacket,timeLastTPacket,timeFirstRPacket,timeLastRPacket,delaySum,"tBytes, tPackets","rBytes, rPackets",lostPackets,timesForwarded,"packetsDropped, bytesDropped",transmitterThroughput,recieverThroughput
64,2.01221,9.99218,2.01438,9.99435,3.49287,"102400,1600","102400,1600",0,0,"0,0",3.55742328307,3.55742328307
128,2.01221,9.99228,2.01449,9.99456,3.66085,"204800,1600","204800,1600",0,0,"0,0",7.11474560726,7.11474560726
256,2.01221,9.99248,2.01469,9.99497,3.99032,"409600,1600","409600,1600",0,0,"0,0",14.2290785185,14.2290785185
512,2.01221,9.99289,2.0151,9.99579,4.64938,"819200,1600","819200,1600",0,0,"0,0",28.4565077509,28.4565077509
1024,2.01221,9.99371,2.01592,9.99742,5.97324,"1638400,1600","1638400,1600",0,0,"0,0",56.9063424988,56.9063424988

0.02,2.01221,9.98228,2.01449,9.98456,1.82625,"102400,800","102400,800",0,0,"0,0",7.12067563229,7.12067563229
0.05,2.01221,9.95228,2.01449,9.95456,0.7296,"40960,320","40960,320",0,0,"0,0",7.1384841491,7.1384841491
0.1,2.01221,9.90228,2.01449,9.90456,0.3648,"20480,160","20480,160",0,0,"0,0",7.16835626014,7.16835626014
1,2.01221,9.00228,2.01449,9.00456,0.03648,"2048,16","2048,16",0,0,"0,0",7.75228834455,7.75228834455
